nProc,createMesh,createExporters,init,solve,exportResults,algebraic-assembly,algebraic-solve,heat.ksp-niter,electric.ksp-niter
4,7.8651693100e+01,2.8308260000e-03,4.8758481400e+02,1.2499968400e+03,5.5531217000e-02,3.2079596870e+02,9.2715893700e+02,50,50
8,3.9928147500e+01,1.5266800000e-04,2.3024857700e+02,4.6497441000e+02,3.9948091000e-02,2.1122367790e+02,5.3758650500e+02,50,35
16,2.2977563200e+01,1.6674400000e-04,1.3454636700e+02,3.4558266300e+02,4.7274173000e-02,1.0602942770e+02,3.1890841400e+02,46,43
32,1.3826192800e+01,1.8093100000e-04,7.8128950700e+01,2.2931676900e+02,4.8322497000e-02,5.4829611470e+01,2.3837373040e+02,56,50
64,7.9286110300e+00,2.3278800000e-04,4.3156899600e+01,1.5728245000e+02,5.9253915000e-02,3.3057044210e+01,1.6000372680e+02,84,38
128,5.4886927900e+00,2.1128800000e-04,2.8319708200e+01,1.6659585200e+02,8.7100337000e-02,1.7997121990e+01,1.3600587360e+02,134,44
256,3.5700465100e+00,3.6027800000e-04,1.6161559000e+01,9.2584275100e+01,8.4340479000e-02,1.3981310080e+01,1.4273683700e+02,189,57
