nProc,createMesh,createExporters,init,solve,exportResults,algebraic-assembly,algebraic-solve,heat.ksp-niter,electric.ksp-niter
4,7.7712602700e+01,2.8775100000e-04,1.9660705700e+02,7.2842202500e+01,3.7997669000e-02,3.9254302440e+01,3.3358671900e+01,26,19
8,4.2871436800e+01,7.6344500000e-04,1.0426091700e+02,4.5214493400e+01,4.1105815000e-02,2.2432740890e+01,2.2651022790e+01,24,16
16,2.4607002600e+01,5.4912400000e-04,7.1072151200e+01,2.5198748300e+01,5.2268195000e-02,1.1781609370e+01,1.3335732260e+01,26,19
32,1.4634088200e+01,9.2034200000e-04,5.1795360500e+01,1.5969805600e+01,4.8693348000e-02,6.7818785600e+00,9.1269225400e+00,25,19
64,9.3685488600e+00,2.7914500000e-04,2.1336987000e+01,1.3191637100e+01,8.2551418000e-02,4.7576677200e+00,8.3980201400e+00,22,17
128,5.6266694700e+00,6.6404100000e-04,1.2352535800e+01,4.9818578500e+00,8.5047349000e-02,2.4273375910e+00,2.5390926600e+00,27,18
256,3.2462762400e+00,6.4992100000e-04,7.0290036900e+00,3.0468429300e+00,8.4273505000e-02,1.4529377500e+00,1.5848704170e+00,24,19
