tasks,0.015,0.03,0.06,0.12
1,120.689091279,17.114941037,2.619495615,0.397142217
2,106.641864357,16.468592114,2.849300313,0.578972194
4,79.114664186,13.030146609,2.774467056,0.673546278
8,54.983115832,12.90391822,2.688922352,0.785509766
16,54.294011802,13.695123489,3.368324172,1.078069488
32,70.741382976,17.894324851,4.899827407,1.917841965
64,75.179432665,21.39308678,6.494290339,2.669174072
128,96.207305224,27.446039535,8.883707287,3.389914723
256,118.067130997,34.722224459,14.026339805,7.289607793
