tasks,0.015,0.03,0.06,0.12,optimal,half-optimal
1,1.0,1.0,1.0,1.0,1.0,1.0
2,1.1326640829648367,1.4074793558334493,1.1872343196537212,1.0957499622593063,2.0,1.5
4,1.5151778505867015,1.874375391731753,1.5998623080299368,1.3504362013122198,4.0,2.5
8,2.445782051856361,2.521068466930606,2.185841384002755,1.501590129706776,8.0,4.5
16,2.877688916498023,3.100789044252572,1.9907548534868127,1.2467384949047202,16.0,8.5
32,2.936385434109788,3.247563781562143,1.5107246354588628,1.0862571203975708,32.0,16.5
64,4.859112506012367,4.041173674952769,2.411952323336129,0.9783393054756135,64.0,32.5
128,7.400391145696928,4.97210589494252,2.4279868287017634,0.6157471372499804,128.0,64.5
256,11.49537928290941,8.026420552094804,2.9027721072962662,0.00572470763795831,256.0,128.5
