tasks,0.015,0.03,0.06,0.12,optimal,half-optimal
1,1.0,1.0,1.0,1.0,1.0,1.0
2,1.1317233809320395,1.0392473696917017,0.9193469719736067,0.6859435066410116,2.0,1.5
4,1.5254958422784652,1.313487986787394,0.9441437083691938,0.5896287010586079,4.0,2.5
8,2.1950209523913395,1.3263367564181603,0.974180460455334,0.505585333486484,8.0,4.5
16,2.222880337506285,1.2497106032484349,0.77768512804533,0.36838276328250935,16.0,8.5
32,1.7060606705970882,0.956445195865747,0.5346097724294802,0.20707765511847062,32.0,16.5
64,1.605347194049619,0.8000220451122763,0.40335363500292065,0.1487884290373101,64.0,32.5
128,1.2544690966865657,0.6235850901247345,0.29486514248766915,0.11715404352370784,128.0,64.5
256,1.0222073684679152,0.4929102701127147,0.18675546517604136,0.05448060146409581,256.0,128.5
