resources.tasks,M2,M3,M4,M5
1,4.5225880252,8.438394805600002,47.630013977100006,
2,2.6548501935000006,5.201164929900001,28.211872543799995,
4,1.7538943012000001,3.2172490641000002,15.5840423423,
8,1.1713372296,2.1644229091,9.2447713664,66.0019225807
16,1.0323172366000002,1.7846297229,6.371481556200001,38.602541836700006
64,2.1738028312,2.8374992078999997,7.0333545826,24.030770919200002
96,0.5290793976,0.6252406729,2.2657954526,12.670994072600001
128,0.5327716615,0.6983633959,2.0858447697000004,
