max_workers,100,300,500,700,1000,optimal,half-optimal
1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,1.226954467127176,1.3033011650255377,1.2991763748303031,1.3619969901445388,1.400682433835446,2.0,1.5
4,1.3936211366319193,1.5374292058233605,1.5569190826863986,1.6518999378327142,1.7548005331098298,4.0,2.5
8,1.4891014520891044,1.7227684602256115,1.714560249153788,1.8916523990457008,2.0500740762821343,8.0,4.5
16,1.4619409448655982,1.8222038134595184,1.8407099358177472,2.054225888300477,2.204512988326929,16.0,8.5
32,1.4078352876646176,1.8150892282469853,1.8638112526056452,2.050288477549842,2.1906757813157887,32.0,16.5
64,1.313919800247884,1.727732798475443,1.8167359141018307,2.0160163270827076,2.1605378536828916,64.0,32.5
